Title,Published,Views,Likes,Dislikes,Comments
Friends With Kids,2012,1738406,2074,259,454
Dr. Seuss' The Lorax #1,2012,258253,522,29,78
The Pruitt-lgoe Myth,2012,18801,117,6,15
Undefeated,2012,58980,183,10,12
Red Tails,2012,83170,567,23,158
Despicable Me 2,2012,33394000,110415,6614,12938
The Kid with a Bike,2012,76175,212,17,30
The Possession,2012,1367056,3191,268,1199
Bernie,2012,570000,692,87,240
A Little Bit Zombie,2012,1316592,5493,701,193
Abraham Lincoln Vampire Hunter,2012,685765,1591,122,860
"Tomorrow, When the War Began",2012,713431,1659,204,687
American Reunion,2012,138252,564,20,96
War Witch,2012,1088583,1753,184,400
Argo,2012,283869,685,46,192
Danny Boyle's Frankenstein,2012,346824,1223,64,212
Where Do We Go Now?,2012,81645,406,41,27
Hemingway & Gellhorn,2012,45204,114,9,21
This Means War #1,2012,170839,478,15,85
Wild Bill,2012,506051,564,60,242
This Is Not A Film,2012,53020,141,12,20
Here,2012,53818,141,8,22
Rust and Bone,2012,94909,178,14,36
The Decoy Bride,2012,42065,102,6,23
Universal Centennial,2012,92369,636,25,148
We Have a Pope,2012,193523,537,73,106
Follow Me: The Yoni Netanyahu Story,2012,148195,758,84,100
Prometheus Russian,2012,32433,95,5,21
LOL,2012,2491385,7162,1192,819
Unraveled,2012,33916,92,8,23
The Divide Opening Scene ,2012,417954,1505,115,405
The Trouble with Bliss,2012,44396,138,13,23
The Host,2012,902756,3182,380,1350
The Moth Diaries,2012,132987,368,51,73
Meeting Evil,2012,679251,816,132,270
Something From Nothing: The Art of Rap,2012,9376,135,6,20
Piranha,2012,8287036,15046,3047,1439
The Avengers Ultimate Heroes,2012,783136,1711,143,439
Dark Shadows,2012,334665,852,43,110
Red Tails,2012,344268,939,132,246
Skyfall,2012,68167,418,10,77
The Samaritan,2012,107164,231,32,51
ATM,2012,645684,1314,247,674
Alter Egos,2012,189733,677,67,71
The Road,2012,260267,336,34,100
Battleship,2012,129888,329,38,79
Act of Valor #1,2012,470029,998,34,506
The Aggression Scale,2012,203526,300,38,91
Anchorman 2: The Legend Continues,2012,190281,764,27,84
Blue Like Jazz,2012,155848,384,59,80
Red Lights UK,2012,23409,130,2,16
Imaginaerum,2012,1412808,2273,198,384
Transit,2012,1037744,948,164,239
The Millionaire Tour,2012,611721,699,102,188
Monsieur Lazhar,2012,30219,90,5,10
Joyful Noise Clip #1,2012,50235,161,9,22
